organization,branch,year,decade,appropriation_usd,appropriation_2025_usd
Department of the Army ,Army,1866,1860s,467079527.7,9431224290.41
Department of the Navy ,Navy,1866,1860s,111562528.95,2252659708.97
Department of the Army ,Army,1867,1860s,36232224.83,785973045.4
Department of the Navy ,Navy,1867,1860s,20033616.56,434582272.88
Department of the Army,Army,1868,1860s,18068512.0,408515377.69
Department of the Navy ,Navy,1868,1860s,16288244.01,368264866.18
Department of the Army,Army,1869,1860s,37364413.0,882050845.53
Department of the Navy ,Navy,1869,1860s,17356350.0,409726313.45
Department of the Army ,Army,1870,1870s,42119393.2,1032250674.51
Department of the Navy ,Navy,1870,1870s,17905952.77,438834238.11
Department of the Army,Army,1871,1870s,29021367.22,763716903.5
Department of the Navy ,Navy,1871,1870s,18177677.79,478357883.33
Department of the Army,Army,1872,1870s,26044580.0,685380734.81
Department of the Navy ,Navy,1872,1870s,16844562.25,443276046.4
Department of the Army,Army,1873,1870s,41748844.32,1116959887.92
Department of the Navy ,Navy,1873,1870s,16634612.45,445046926.69
Department of the Army,Army,1874,1870s,28057500.0,790166267.27
Department of the Navy ,Navy,1874,1870s,26197815.89,737793117.43
Department of the Army,Army,1875,1870s,29176500.0,851559254.15
Department of the Navy ,Navy,1875,1870s,19162918.75,559298092.58
Department of the Army,Army,1876,1870s,28838860.0,865303930.05
Department of the Navy ,Navy,1876,1870s,18940054.4,568292349.55
Department of the Army,Army,1877,1870s,25933390.32,792947369.43
Department of the Navy ,Navy,1877,1870s,16934054.4,517780888.83
Department of the Army,Army,1878,1870s,25188000.0,808663888.5
Department of the Navy ,Navy,1878,1870s,18919970.69,607428024.0
Department of the Navy ,Navy,1879,1870s,18629809.0,598112346.67
Department of the Army,Army,1880,1880s,24942800.0,785089913.58
Department of the Navy ,Navy,1880,1880s,18948397.5,596412421.85
Department of the Army,Army,1881,1880s,25550800.0,804227086.13
Department of the Navy ,Navy,1881,1880s,14405797.7,453431309.69
Department of the Army,Army,1882,1880s,26378800.0,830288893.48
Department of the Navy ,Navy,1882,1880s,14566037.55,458474957.15
Department of the Army,Army,1883,1880s,26163000.0,831649886.51
Department of the Navy ,Navy,1883,1880s,14819976.8,471086344.22
Department of the Army,Army,1884,1880s,24478250.0,801915587.79
Department of the Navy ,Navy,1884,1880s,15894434.23,520706936.49
Department of the Army,Army,1885,1880s,24334450.0,805423256.76
Department of the Navy ,Navy,1885,1880s,14980472.59,495824685.63
Department of the Army,Army,1886,1880s,25786552.5,880723926.95
Department of the Navy ,Navy,1886,1880s,15070837.95,514735251.32
Department of the Army,Army,1887,1880s,23887588.46,807277908.9
Department of the Navy ,Navy,1887,1880s,16489097.2,557246870.26
Department of the Army,Army,1888,1880s,24471300.0,827004363.59
Department of the Navy ,Navy,1888,1880s,25767348.19,870804141.64
Department of the Army,Army,1889,1880s,23824615.73,831404637.05
Department of the Navy ,Navy,1889,1880s,19942835.35,695942632.35
Department of the Army,Army,1890,1890s,24231626.79,854900447.3
Department of the Navy ,Navy,1890,1890s,21692510.27,765319509.65
Department of the Army,Army,1891,1890s,24613529.19,868374100.37
Department of the Navy ,Navy,1891,1890s,24136035.53,851527953.51
Department of the Army,Army,1892,1890s,25949207.0,915497290.53
Department of the Navy ,Navy,1892,1890s,31541654.78,1112800845.52
Department of the Army,Army,1893,1890s,24656149.82,879543079.99
Department of the Navy ,Navy,1893,1890s,23543385.0,839848131.5
Department of the Army,Army,1894,1890s,23568284.68,879840378.71
Department of the Navy ,Navy,1894,1890s,22104061.38,825178666.99
Department of the Army,Army,1895,1890s,23592884.68,901729180.67
Department of the Navy ,Navy,1895,1890s,25327126.27,968012565.23
Department of the Army,Army,1896,1890s,23252608.09,888723677.74
Department of the Navy ,Navy,1896,1890s,29416245.31,1124300277.03
Department of the Army,Army,1897,1890s,23278408.78,900429185.16
Department of the Navy ,Navy,1897,1890s,30562660.95,1182190421.85
Department of the Army,Army,1898,1890s,23902307.65,924562138.42
Department of the Navy ,Navy,1898,1890s,33003234.19,1276593926.6
Department of the Army,Army,1899,1890s,23192392.0,897101980.97
Department of the Navy ,Navy,1899,1890s,23551351.9,910986863.46
Department of the Army,Army,1900,1900s,81437954.06,3112590112.91
Department of the Navy ,Navy,1900,1900s,48099969.58,1838399447.45
Department of the Army,Army,1901,1900s,114249095.55,4315272345.61
Department of the Navy ,Navy,1901,1900s,65140916.67,2460420320.36
Department of the Army,Army,1902,1900s,112118749.1,4185565645.0
Department of the Navy ,Navy,1902,1900s,77016635.6,2875149666.3
Department of the Army,Army,1903,1900s,49717136.41,1813835089.87
Department of the Navy ,Navy,1903,1900s,76760938.13,2800476720.21
Department of the Army,Army,1904,1900s,76100000.0,2745168553.37
