year,category,raw_type,description,source,added_by
1888,Legislation,Legislation,"BOF Formally Established in Legislation by the passing of the Fortification Act Section 11, act Sept. 22, 1888, ch. 1028, §1, 25 Stat. 489",,
1888,Legislation,Legislation,"Additional duties relating to BOF Section 15, act Sept. 22, 1888, ch. 1028, §6, 25 Stat. 490, related to purchases and tests.",,
1888,Legislation,Legislation,"BOF Formally Established in Legislation by the passing of the Fortification Act Section 11, act Sept. 22, 1888, ch. 1028, §1, 25 Stat. 489",,
1888,Legislation,Legislation,"Additional duties relating to BOF Section 15, act Sept. 22, 1888, ch. 1028, §6, 25 Stat. 490, related to purchases and tests.",,
1888,Legislation,Legislation,"BOF Formally Established in Legislation by the passing of the Fortification Act Section 11, act Sept. 22, 1888, ch. 1028, §1, 25 Stat. 489",,
1888,Legislation,Legislation,"Additional duties relating to BOF Section 15, act Sept. 22, 1888, ch. 1028, §6, 25 Stat. 490, related to purchases and tests.",,
1888,Legislation,Legislation,"BOF Formally Established in Legislation by the passing of the Fortification Act Section 11, act Sept. 22, 1888, ch. 1028, §1, 25 Stat. 489",,
1888,Legislation,Legislation,"Additional duties relating to BOF Section 15, act Sept. 22, 1888, ch. 1028, §6, 25 Stat. 490, related to purchases and tests.",,
1888,Organizational,Organizational Change,"Secretary Taft transmits Taft Board report to President Roosevelt recommending radical modifications to Endicott plan, including adoption of 14-inch guns as maximum (replacing 12-inch) where highest power required. Total estimated cost for US fortifications materially increased from 1888 estimate.","ANJ Vol. 43, Mar. 3 1906, p.",RA ANJ Kim
1888,Personnel,Personnel,"Henry L. Stimson sworn in as Secretary of War, succeeding Jacob M. Dickinson. Ceremony at War Department office in presence of Senator Root and Representative Dwight. Stimson received all Army officers on duty in Washington and civil officers of the War Department. Background: Yale 1888, Harvard Law 1890, U.S. District Attorney for Southern District of NY 1906-09. Prior military service in Squadron A, N.G.N.Y. for ~9 years; qualified as distinguished expert with carbine.","ANJ Vol. 48 Iss. 38-39, May 20-27 1911, p.1143-1169",RA ANJ Stoddard
1889,Personnel,Personnel,"Crozier on special ordnance duty in Europe; studies recent artillery developments at leading British, French, and German arsenals, shaping nearly every innovation he later introduced into US ordnance",Cullum's Register No. 2597,RA Crozier Bio
1890,Personnel,Personnel,"Capt. Charles C. Morrison, Ordnance Department, Recorder",BOF Yearly Reports,
1890,Personnel,Personnel,"Capt. Charles C. Morrison, Ordnance Department, Recorder",BOF Yearly Reports,
1890,Personnel,Personnel,"Capt. Charles C. Morrison, Ordnance Department, Recorder",BOF Yearly Reports,
1890,Personnel,Personnel,"Capt. Charles C. Morrison, Ordnance Department, Recorder",BOF Yearly Reports,
1890,Personnel,Personnel,"Lewis at Fort Leavenworth, Kansas; invents first prototype of 'Lewis range and position finder'","Cullum's Register No. 3031; BOF Annual Report 1888-1891, p.27",RA Lewis Bio
1890,Personnel,Personnel,Brig. Gen. William Crozier submits memorandum to Secretary Taft advocating promotion by selection in the Army. Crozier argues existing examination system has failed — not one officer eliminated 1890-1901. Proposes boards of officers free from personal conflicts to make selections. Notes selection has succeeded in Ordnance Corps.,"ANJ Vol. 42, Jan. 28 1905, p.579",RA ANJ Kim
1891,Legislation,Legislation,"BOF expanded civilian member added to Board via Section 12, act Feb. 24, 1891, ch. 283, 26 Stat. 769",,
1891,Legislation,Legislation,"BOF expanded civilian member added to Board via Section 12, act Feb. 24, 1891, ch. 283, 26 Stat. 769",,
1891,Legislation,Legislation,"BOF expanded civilian member added to Board via Section 12, act Feb. 24, 1891, ch. 283, 26 Stat. 769",,
1891,Legislation,Legislation,"BOF expanded civilian member added to Board via Section 12, act Feb. 24, 1891, ch. 283, 26 Stat. 769",,
1891,Personnel,Chief of Ordnance,BG Stephen V. Benet is Chief of Ordnance,https://en.wikipedia.org/wiki/Chief_of_Ordnance_of_the_United_States_Army,
1891,Personnel,Chief of Ordnance,BG Stephen V. Benet is Chief of Ordnance,https://en.wikipedia.org/wiki/Chief_of_Ordnance_of_the_United_States_Army,
1891,Personnel,Chief of Ordnance,BG Stephen V. Benet is Chief of Ordnance,https://en.wikipedia.org/wiki/Chief_of_Ordnance_of_the_United_States_Army,
1891,Personnel,Chief of Ordnance,BG Stephen V. Benet is Chief of Ordnance,https://en.wikipedia.org/wiki/Chief_of_Ordnance_of_the_United_States_Army,
1891,Technology,"Technology, Lewis Range and Position Finder",Lewis range and position finder first mentioned by BOF under Range and Position Finders. Vertical-base depression instrument designed to measure range and direction of moving targets for coastal defense.,BOF.AR.1.1888-1891 p. 27,
1892,Personnel,Personnel,"Lieut. Col. Alfred Mordecai, Ordnance Department",BOF Yearly Reports,
1892,Personnel,Personnel,"Capt. D.M. Taylor, Ordnance Department, Recorder",BOF Yearly Reports,
1892,Personnel,Personnel,"Lieut. Col. Alfred Mordecai, Ordnance Department",BOF Yearly Reports,
1892,Personnel,Personnel,"Capt. D.M. Taylor, Ordnance Department, Recorder",BOF Yearly Reports,
1892,Personnel,Personnel,"Lieut. Col. Alfred Mordecai, Ordnance Department",BOF Yearly Reports,
1892,Personnel,Personnel,"Capt. D.M. Taylor, Ordnance Department, Recorder",BOF Yearly Reports,
1892,Personnel,Personnel,"Lieut. Col. Alfred Mordecai, Ordnance Department",BOF Yearly Reports,
1892,Personnel,Personnel,"Capt. D.M. Taylor, Ordnance Department, Recorder",BOF Yearly Reports,
1892,Technology,"Technology, Lewis Range and Position Finder",BOF orders tests of available range finders including Lewis and Fiske instruments. BOF allots $3000 for manufacturing updated version of Lewis range finder. Both instruments described as delicate and not readily moved.,BOF.AR.3.1892-1893 p. 23; BOF.AR.2.1891-1892 p. 42,
1893,Legislation,Legislation,"Section 14, act Feb. 18, 1893, ch. 136, 27 Stat. 461, related to qualifications of Board Members.",,
1893,Legislation,Legislation,"Section 14, act Feb. 18, 1893, ch. 136, 27 Stat. 461, related to qualifications of Board Members.",,
1893,Legislation,Legislation,"Section 14, act Feb. 18, 1893, ch. 136, 27 Stat. 461, related to qualifications of Board Members.",,
1893,Legislation,Legislation,"Section 14, act Feb. 18, 1893, ch. 136, 27 Stat. 461, related to qualifications of Board Members.",,
1893,Technology,Technology- Haskell Multicharge Gun,"Construction and Modification of Haskell Multi-Charge Gun, 
gun is also approaching completion and ought to be ready for test during the coming year. Its design has been greatly modified since it was first undertaken. It is an 8-inch B. L. rifle of steel, with one principal chamber and two auxiliary chambers or pockets, designed for secondary charges and for augmenting the pressure and successively increasing the velocity of the
projectile. The original allotment for this gun was $55,000. The cost of the
forgings was $25,164. The contract price for finishing and assembling was
$28,900. Total, $54,064, leaving a balance of $936 of the allotment. January 21,
1893, Mr. J. B. Haskell, the inventor of the gun, requested permission to modify
the plan of the gun by shrinking on a band over the chamber for greater strength,
and the Board allotted a sum of $830.86 in addition to the unexpended balance
of $936, making a total of $1,766.86 for such modification. On March 14, 1893,
the inventor submitted a request for an allotment to enable him to make further
modification by shrinking on a second band, 24 inches in length, in front of the
first band and back of the trunnions, at a cost of $640.60. As the Board desired to
give the system a thorough test under favorable circumstances the request was
granted. The actual cost proved to be $5.70 more than estimated. On September
2, 1893, Mr. Haskell requested a still further allotment of $415.60 for a third band
to be shrunk on adjacent to the other two, so as to make the hooping practically
continuous from the breech to the trunnion band, making a total cost thus far of
$56,892.76.","BOF 1892-1893 Report, pp. 13",RA Paul Beblavy
1894,Personnel,Personnel,"Maj. Clifton Comly, Ordnance Department",BOF Yearly Reports,
1894,Personnel,Personnel,"Capt. Charles C. Morrison, Ordnance Department, Recorder",BOF Yearly Reports,
1894,Personnel,Personnel,"Lieut. Fremont P. Peck, Ordnance Department, Recorder",BOF Yearly Reports,
1894,Personnel,Personnel,"Maj. Clifton Comly, Ordnance Department",BOF Yearly Reports,
1894,Personnel,Personnel,"Capt. Charles C. Morrison, Ordnance Department, Recorder",BOF Yearly Reports,
1894,Personnel,Personnel,"Lieut. Fremont P. Peck, Ordnance Department, Recorder",BOF Yearly Reports,
1894,Personnel,Personnel,"Maj. Clifton Comly, Ordnance Department",BOF Yearly Reports,
1894,Personnel,Personnel,"Capt. Charles C. Morrison, Ordnance Department, Recorder",BOF Yearly Reports,
1894,Personnel,Personnel,"Lieut. Fremont P. Peck, Ordnance Department, Recorder",BOF Yearly Reports,
1894,Personnel,Personnel,"Maj. Clifton Comly, Ordnance Department",BOF Yearly Reports,
1894,Personnel,Personnel,"Capt. Charles C. Morrison, Ordnance Department, Recorder",BOF Yearly Reports,
1894,Personnel,Personnel,"Lieut. Fremont P. Peck, Ordnance Department, Recorder",BOF Yearly Reports,
1895,Personnel,Personnel,"Army Maj. Gen. John M. Schofield, President",BOF Yearly Reports,
1895,Personnel,Personnel,"Col. Henry L. Abbot, Corps of Army Engineers",BOF Yearly Reports,
1895,Personnel,Personnel,"Col. Henry W. Closson, Fourth Artillery",BOF Yearly Reports,
1895,Personnel,Personnel,"Hon. Byron M. Cutcheon, Civilian Member",BOF Yearly Reports,
1895,Personnel,Personnel,"Army Maj. Gen. John M. Schofield, President",BOF Yearly Reports,
1895,Personnel,Personnel,"Col. Henry L. Abbot, Corps of Army Engineers",BOF Yearly Reports,
1895,Personnel,Personnel,"Col. Henry W. Closson, Fourth Artillery",BOF Yearly Reports,
1895,Personnel,Personnel,"Hon. Byron M. Cutcheon, Civilian Member",BOF Yearly Reports,
1895,Personnel,Personnel,"Army Maj. Gen. John M. Schofield, President",BOF Yearly Reports,
1895,Personnel,Personnel,"Col. Henry L. Abbot, Corps of Army Engineers",BOF Yearly Reports,
1895,Personnel,Personnel,"Col. Henry W. Closson, Fourth Artillery",BOF Yearly Reports,
1895,Personnel,Personnel,"Hon. Byron M. Cutcheon, Civilian Member",BOF Yearly Reports,
1895,Personnel,Personnel,"Army Maj. Gen. John M. Schofield, President",BOF Yearly Reports,
1895,Personnel,Personnel,"Col. Henry L. Abbot, Corps of Army Engineers",BOF Yearly Reports,
1895,Personnel,Personnel,"Col. Henry W. Closson, Fourth Artillery",BOF Yearly Reports,
1895,Personnel,Personnel,"Hon. Byron M. Cutcheon, Civilian Member",BOF Yearly Reports,
1895,Technology,"Technology, Lewis Range and Position Finder",BOF orders three Lewis range finders of different elevation types (30-100 ft; 100-200 ft; 200-400 ft) for representative artillery forts. Allots $5250 for purchase.,BOF.AR.5.1894-1895 p. 16 and p. 26,
1896,Personnel,Personnel,"Crozier serves in office of Chief of Ordnance and on Ordnance Board; becomes joint inventor of Buffington-Crozier disappearing carriage (adopted for service), designer of most service siege and sea-coast carriages, and inventor of Crozier wire-wound gun",Cullum's Register No. 2597,RA Crozier Bio
1896,Technology,Technology- Haskell Multicharge Gun,"Postponing of Haskell Multi-Charge Gun Testing due to Miscommunication on Ammunition Data-the gun is in the same condition as at the date of the last report. It is ready for
the test as soon as the projectiles and powder are obtained. An estimate of the
cost of the ammunition was received from the company, May 26, 1896, and an
allotment was made for the purchase of 20 rounds, the number fixed by the
Board for the preliminary test. The delay in testing this gun has been due entirely
to the failure of the Haskell Gun Company to furnish the necessary data in regard
to the ammunition, which was called for by the Board three years ago. It is
understood that the estimate has been delayed by the long-continued illness of
Mr. Haskell. It is expected that the gun can now be tested within a few months.",BOF 1893-1894 Report,RA Paul Beblavy
1897,Technology,"Technology, Lewis Range and Position Finder",BOF tests Lewis portable modification alongside Rafferty emergency position finder at Fort Wadsworth. Results not conclusive; Board orders both instruments for further service use evaluation.,BOF.AR.7.1896-1897 p. 15,
