year,description,allotted,date_allotted,revoked,date_revoked,page,notes,source_file
1891,To defray expenses of fitting up gun for testing Ericsson aerial subaquatic projectile,1000.0,1891-12-02,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1891,To enable the Chief of Ordnance to make arrangements at Sandy Hook proving ground by which the experiments to be made under the supervision of the Board will be conducted in a manner to fulfill the wishes of the Board,5000.0,1891-12-03,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,"For preparing and altering 12-inch siege mortar carriages procured from Easton & Anderson, England",2200.0,1892-01-19,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,"Additional to defray cost of preparing the foundation and shelter for the Lewis range and position finder, at Fort Wadsworth",108.0,1892-01-19,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,For the purchase of a completed 8-inch steel gun fitted with the Yates breech mechanism,1000.0,1892-01-21,True,1892-03-21,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,For the procurement of 600 metallic cartridge cases with solid head for testing 3.2-inch guns,1500.0,1892-01-21,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,For the construction of the outer platform plate for mounting gun carriages for use at the ordnance proving ground,2900.0,1892-01-21,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,To the Brandis Manufacturing Company as extra compensation for the construction of the LeFèn range finder,395.35,1892-01-21,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,To complete the purchase of powder required for the test of the 10-inch B.L. rifle (type gun),11781.0,1892-01-21,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,For the manufacture of the inner part of the platform plate for mounting gun carriages for use at the ordnance proving ground,2800.0,1892-01-22,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,For the alteration of two old model 15-inch carriages for mortars for experimental purposes,2500.0,1892-01-22,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,For the construction of a suitable platform for the two old model 15-inch carriages above referred to,500.0,1892-01-22,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,Additional for the completion of the Woodbridge 10-inch wire-wound gun,125.0,1892-01-22,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,For payment of J. Wall Wilson for 20 gas-checks for the Seabury breech mechanism on the 8.5-inch siege gun,395.75,1892-02-02,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,To defray cost of moving and mounting gun to test Ericsson aerial subaquatic projectiles,500.0,1892-02-24,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,For altering Fiske position finder at Fort Hamilton,1880.0,1892-02-24,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,For trial of Seabury breech mechanism,592.25,1892-02-24,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,For 500 rounds for Yates’s 3.2-inch gun,1470.0,1892-02-24,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,For 500 rounds for Driggs’s 3.2-inch gun,470.0,1892-02-24,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,For purchase of shells and powder for use in experiments with high explosive ammunition to be fired from a 12.2-inch mortar,5700.0,1892-02-24,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,"For the compensation of Dr. W. E. Woodbridge, for services in connection with the construction of the Woodbridge 10-inch wire-wound gun",6.0,1892-03-23,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,"For the purchase of powder for the test of the 12-inch B.L. rifle, steel (type gun)",603.59,1892-03-23,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,"For the purchase of powder for the test of the 12-inch B.L. rifle, steel (type gun)",1959.63,1892-03-23,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,For the completion of the Carbaugh clinometer sight,50.0,1892-05-04,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,"For the purpose of preparing platforms, assembling and mounting Canet and Hotchkiss quick-fire guns, preparing concrete bed and platform for mounting 8 and 10 inch experimental gun carriages, for bedplate for 10-inch carriage, and for bedplate for 8-inch carriage",14450.0,1892-05-04,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,For procuring and testing Walter combination fuses (additional),131.71,1892-05-05,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,"For the purpose of testing, at the Sandy Hook proving ground, the telescopic sight invented by Lieut. H. L. Beal, U.S.A",70.0,1892-08-09,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,"For the purpose of testing, at the Sandy Hook proving ground, the Carbaugh clinometer artillery sight",65.0,1892-08-09,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1892,"For increasing the facilities for examining, testing, and experimenting with gun carriages, etc., at the Ordnance proving ground",6000.0,1892-08-10,False,,40,,BOF Annual Report 2 (1891–1892).xlsx
1889,manufacture of King 10-inch disappearing carriage,12750.0,1889-06-27,True,,41,Revoked and added to Section 6 balance per 1891–1892 report. Revocation date not specified,BOF Annual Report 2 (1891–1892).xlsx
1892,For steel forgings for not less than 24 3.6-inch field guns,24000.0,1892-01-22,False,,41,,BOF Annual Report 2 (1891–1892).xlsx
1891,For machinery and plant for the manufacture of steel shell or shrapnel for field guns,5000.0,1901-12-02,False,,41,,BOF Annual Report 2 (1891–1892).xlsx
1891,For purchase of high explosives for use in connection with experiments with high explosives at Sandy Hook,1200.0,1891-12-02,False,,41,,BOF Annual Report 2 (1891–1892).xlsx
1891,For purchase of steel shell for use in experiments with high explosives,250.0,1891-12-02,False,,41,,BOF Annual Report 2 (1891–1892).xlsx
1892,"For erection of a storage magazine and a loading room for high explosives, in addition to the $1,500 already allotted",35.0,1892-01-21,False,,41,,BOF Annual Report 2 (1891–1892).xlsx
1892,Additional for a storage magazine for high explosives,315.0,1892-02-12,False,,41,,BOF Annual Report 2 (1891–1892).xlsx
1892,"For the platform for an 11-inch rifle, M.L., used in experiments with high explosives",350.0,1892-01-21,False,,41,,BOF Annual Report 2 (1891–1892).xlsx
1892,"For completing the manufacture (finishing and assembling) of 3.2-inch steel field siege cannon from forgings procured under the fortification act approved March 2, 1889",19000.0,1892-01-22,False,,41,,BOF Annual Report 2 (1891–1892).xlsx
1892,"To apply on purchase of experimental casemate carriage for 12-inch B.L. rifle, with necessary detailed construction drawings of the same",80000.0,1892-05-05,False,,41,,BOF Annual Report 2 (1891–1892).xlsx
1892,To defray the cost of fitting up a carriage for the test of the Brown segmental tube wire gun,175.0,1892-10-05,False,,41,,BOF Annual Report 2 (1891–1892).xlsx
1892,To defray the cost of and additional expenses incident to the test of the pneumatic disappearing 10-inch gun carriage,700.0,1892-10-07,False,,41,,BOF Annual Report 2 (1891–1892).xlsx
1892,For the purchase or manufacture of steel shell or shrapnel for field guns,12000.0,1892-10-07,False,,41,,BOF Annual Report 2 (1891–1892).xlsx
1892,"For carriages for breech-loading rifled mortars of 12-inch caliber, procured under the fortification act approved September 22, 1888",225000.0,1892-10-07,False,,41,,BOF Annual Report 2 (1891–1892).xlsx
1892,"For the necessary expenses of the Board from October 30, 1891, to October 31, 1892",2654.2,,False,,41,Specific date allotted not specified,BOF Annual Report 2 (1891–1892).xlsx
1891,For the construction of a modified Schultz chronoscope,200.0,1891-12-02,False,,42,,BOF Annual Report 2 (1891–1892).xlsx
1892,"For the purchase of powder for the test of the 12-inch B.L. rifle, steel (type), in addition to the amount allotted for the test of that gun",7642.78,1892-03-23,False,,42,,BOF Annual Report 2 (1891–1892).xlsx
1892,"To provide ammunition for 15 rounds, with charges varying between 170 and 250 pounds of powder and a projectile weighing 575 pounds, to enable the Pneumatic Gun Carriage and Power Company to obtain the information necessary to insure the proper setting of the valves of the 10-inch pneumatic disappearing gun carriage",2000.0,1892-03-29,False,,42,,BOF Annual Report 2 (1891–1892).xlsx
1892,"For the purpose of securing photographs illustrating results of tests, etc., for the Board",100.0,1892-05-03,False,,42,,BOF Annual Report 2 (1891–1892).xlsx
